antecedent,consequent,confidence,lift,support
"Detergent, Pasta",Pasta Sauce,0.6644736842105263,3.494094214967799,0.010130391173520562
"Cheese, Pasta",Pasta Sauce,0.6621315192743764,3.4817780839480656,0.029287863590772317
"Cereal, Pasta Sauce",Pasta,0.40894568690095845,3.4788297767939893,0.012838515546639919
"Pasta, Toothbrush",Pasta Sauce,0.6585365853658537,3.4628743439333127,0.01354062186559679
"Pasta Sauce, Sugar",Pasta,0.40703517587939697,3.462577392079853,0.01624874623871615
"Eggs, Pasta",Pasta Sauce,0.6569767441860465,3.4546720145226177,0.011334002006018053
"Pasta Sauce, Soap",Pasta,0.40604026845637586,3.4541138878072246,0.012136409227683049
"Bread, Pasta Sauce",Pasta,0.4053030303030303,3.4478423311614437,0.010732196589769307
"Bread, Pasta",Pasta Sauce,0.6524390243902439,3.430810692600597,0.010732196589769307
"Cooking Oil, Pasta Sauce",Pasta,0.4014084507042254,3.414711820410518,0.011434302908726178
"Cereal, Toothpaste",Toothbrush,0.5677083333333334,3.401473607772436,0.010932798395185557
"Detergent, Pasta Sauce",Pasta,0.39763779527559057,3.3826355110048105,0.010130391173520562
"Cereal, Pasta",Pasta Sauce,0.6336633663366337,3.3320800434473825,0.012838515546639919
"Pasta, Tea",Pasta Sauce,0.6298342541436464,3.311944891251136,0.011434302908726178
"Soft Drink, Toothbrush",Toothpaste,0.37575757575757573,3.300707515685489,0.012437311935807422
"Butter, Pasta Sauce",Pasta,0.38580246913580246,3.2819544516074663,0.012537612838515547
"Bread, Eggs",Butter,0.5728542914171657,3.2729841177244365,0.028786359077231694
"Pasta Sauce, Tea",Pasta,0.3825503355704698,3.2542891174382116,0.011434302908726178
"Sugar, Toothbrush",Toothpaste,0.36615384615384616,3.2163470010166044,0.011935807422266801
"Sugar, Toothpaste",Toothbrush,0.5219298245614035,3.1271877108636974,0.011935807422266801
"Butter, Toothbrush",Toothpaste,0.35313531353135313,3.1019903752489784,0.010732196589769307
"Coffee, Tea",Sugar,0.6319018404907976,3.0988988439219143,0.01033099297893681
"Bread, Milk",Cereal,0.5135699373695198,3.0405536078231075,0.024674022066198596
"Cheese, Soft Drink",Chips,0.36054421768707484,3.033439536152014,0.010631895687061183
"Soft Drink, Toothpaste",Toothbrush,0.5040650406504065,3.0201493120700436,0.012437311935807422
"Chips, Cooking Oil",Soft Drink,0.5919540229885057,3.0126501323100574,0.01033099297893681
"Butter, Toothpaste",Toothbrush,0.5023474178403756,3.009858026363308,0.010732196589769307
"Butter, Cereal",Bread,0.44483985765124556,3.0088557535840694,0.012537612838515547
Toothpaste,Toothbrush,0.4995594713656388,2.9931538037953236,0.05687061183550652
Toothbrush,Toothpaste,0.3407451923076923,2.9931538037953236,0.05687061183550652
"Cereal, Soft Drink",Chips,0.3519736842105263,2.9613313346657786,0.010732196589769307
"Bread, Soap",Butter,0.5172413793103449,2.955241576919277,0.012036108324974924
"Bread, Toothbrush",Butter,0.51440329218107,2.939026259624795,0.012537612838515547
"Chips, Pasta Sauce",Soft Drink,0.5688073394495413,2.894848991481331,0.012437311935807422
"Pasta Sauce, Soft Drink",Chips,0.33972602739726027,2.858285648228426,0.012437311935807422
"Butter, Detergent",Bread,0.41975308641975306,2.839171147628859,0.010230692076228686
"Bread, Pasta Sauce",Butter,0.4962121212121212,2.8350916037162457,0.013139418254764293
Bread,Butter,0.494572591587517,2.8257242052306846,0.07311935807422267
Butter,Bread,0.4177650429799427,2.8257242052306846,0.07311935807422267
"Butter, Cooking Oil",Bread,0.41762452107279696,2.8247737280161367,0.010932798395185557
"Cooking Oil, Soft Drink",Chips,0.3344155844155844,2.81360622499863,0.01033099297893681
"Cooking Oil, Milk",Cereal,0.4744186046511628,2.808760978843286,0.010230692076228686
"Cereal, Detergent",Milk,0.4166666666666667,2.8068693693693696,0.010030090270812437
Chips,Soft Drink,0.5510548523206751,2.8045007032348805,0.06549648946840522
Soft Drink,Chips,0.3333333333333333,2.8045007032348805,0.06549648946840522
"Butter, Toothbrush",Bread,0.41254125412541254,2.790390979396447,0.012537612838515547
"Cheese, Chips",Soft Drink,0.5463917525773195,2.780768643795751,0.010631895687061183
"Butter, Soap",Bread,0.410958904109589,2.779688109886433,0.012036108324974924
"Bread, Sugar",Butter,0.4840989399293286,2.765883341601952,0.013741223671013039
"Bread, Cooking Oil",Butter,0.4823008849557522,2.755610213758653,0.010932798395185557
"Cereal, Chips",Soft Drink,0.5404040404040404,2.7502951928679344,0.010732196589769307
"Cereal, Cooking Oil",Milk,0.408,2.7484864864864864,0.010230692076228686
"Butter, Chips",Soft Drink,0.5396825396825397,2.7466232366691785,0.010230692076228686
"Butter, Pasta Sauce",Bread,0.404320987654321,2.7347898554366217,0.013139418254764293
"Soft Drink, Sugar",Chips,0.3236842105263158,2.723317788141239,0.012337011033099298
"Cereal, Toothbrush",Milk,0.40293040293040294,2.7143352143352146,0.011033099297893681
"Butter, Cereal",Milk,0.40213523131672596,2.708978551505242,0.011334002006018053
"Detergent, Milk",Cereal,0.45454545454545453,2.6911034333837183,0.010030090270812437
"Butter, Milk",Cereal,0.4538152610441767,2.6867803756594073,0.011334002006018053
"Milk, Soft Drink",Cereal,0.452,2.6760332541567697,0.011334002006018053
"Bread, Detergent",Butter,0.46788990825688076,2.6732735732499147,0.010230692076228686
Milk,Cereal,0.45135135135135135,2.672192976824806,0.06700100300902709
Cereal,Milk,0.39667458432304037,2.672192976824806,0.06700100300902709
Rice,Cooking Oil,0.4028393966282165,2.670418074722951,0.04553660982948846
Cooking Oil,Rice,0.30186170212765956,2.670418074722951,0.04553660982948846
"Butter, Soft Drink",Bread,0.3944099378881988,2.667752429270924,0.012738214643931796
"Butter, Soft Drink",Chips,0.3167701863354037,2.665146631024452,0.010230692076228686
"Milk, Pasta Sauce",Cereal,0.44360902255639095,2.626355080099298,0.011835506519558676
"Butter, Sugar",Bread,0.38591549295774646,2.6102967875093164,0.013741223671013039
"Bread, Butter",Eggs,0.3936899862825789,2.6097667308758723,0.028786359077231694
"Milk, Toothbrush",Cereal,0.44,2.6049881235154393,0.011033099297893681
Coffee,Sugar,0.5227670753064798,2.5636929369432386,0.05987963891675025
Sugar,Coffee,0.29365469749139206,2.5636929369432386,0.05987963891675025
"Cereal, Pasta Sauce",Milk,0.3769968051118211,2.5396338830843623,0.011835506519558676
"Bread, Soft Drink",Butter,0.4425087108013937,2.528258937931172,0.012738214643931796
Pasta,Cheese,0.37627986348122866,2.5279718591023244,0.044232698094282846
Cheese,Pasta,0.2971698113207547,2.5279718591023244,0.044232698094282846
"Chips, Sugar",Soft Drink,0.4939759036144578,2.5140070234998184,0.012337011033099298
"Butter, Sugar",Coffee,0.28732394366197184,2.5084235711995264,0.010230692076228686
Coffee,Milk,0.37215411558669004,2.5070111705400673,0.04262788365095286
Milk,Coffee,0.28716216216216217,2.5070111705400673,0.04262788365095286
"Cereal, Soft Drink",Milk,0.3717105263157895,2.5040229374110954,0.011334002006018053
Cookies,Tea,0.37521514629948366,2.4972596853176583,0.04373119358074223
Tea,Cookies,0.2910547396528705,2.497259685317658,0.04373119358074223
"Cereal, Milk",Bread,0.36826347305389223,2.4909001535599087,0.024674022066198596
Soap,Shampoo,0.3016181229773463,2.46891025130061,0.04674022066198596
Shampoo,Soap,0.3825944170771757,2.4689102513006094,0.04674022066198596
"Pasta, Pasta Sauce",Cheese,0.36683417085427134,2.464512589903696,0.029287863590772317
"Coffee, Pasta Sauce",Sugar,0.502283105022831,2.4632378539486597,0.011033099297893681
"Pasta Sauce, Sugar",Coffee,0.27638190954773867,2.412896355683848,0.011033099297893681
"Cereal, Sugar",Milk,0.35798816568047337,2.411582440428594,0.012136409227683049
"Coffee, Soft Drink",Sugar,0.48826291079812206,2.394481662890938,0.010431293881644935
"Butter, Coffee",Sugar,0.4880382775119617,2.3933800426926997,0.010230692076228686
"Soft Drink, Sugar",Coffee,0.2736842105263158,2.389344640058992,0.010431293881644935
"Coffee, Milk",Sugar,0.48705882352941177,2.388576719423628,0.020762286860581746
Dish Soap,Detergent,0.33629749393694425,2.3479593939435115,0.04172517552657974
Detergent,Dish Soap,0.2913165266106443,2.3479593939435115,0.04172517552657974
"Coffee, Sugar",Milk,0.34673366834170855,2.335766671193807,0.020762286860581746
Bread,Eggs,0.33989145183175035,2.253136818326164,0.05025075225677031
Eggs,Bread,0.33311170212765956,2.253136818326164,0.05025075225677031
Bread,Milk,0.324966078697422,2.1891295977116876,0.048044132397191575
Milk,Bread,0.3236486486486487,2.1891295977116876,0.048044132397191575
"Cereal, Sugar",Tea,0.3136094674556213,2.087240581129869,0.010631895687061183
"Bread, Cereal",Butter,0.34916201117318435,1.9949256454995117,0.012537612838515547
"Butter, Tea",Sugar,0.4046692607003891,1.9845314949251744,0.010431293881644935
"Milk, Sugar",Cereal,0.33518005540166207,1.984409235364947,0.012136409227683049
"Cereal, Tea",Sugar,0.40458015267175573,1.984094501789181,0.010631895687061183
Tea,Sugar,0.4032042723631509,1.9773470710578527,0.06058174523570712
Sugar,Tea,0.2970978848991638,1.9773470710578522,0.06058174523570712
"Butter, Sugar",Tea,0.29295774647887324,1.9497922112111923,0.010431293881644935
Chocolate,Soft Drink,0.3753191489361702,1.910123488970708,0.044232698094282846
Soft Drink,Chocolate,0.225114854517611,1.910123488970708,0.044232698094282846
"Pasta Sauce, Sugar",Tea,0.2864321608040201,1.9063609100240857,0.011434302908726178
"Pasta Sauce, Tea",Sugar,0.3825503355704698,1.8760584582575426,0.011434302908726178
"Soft Drink, Sugar",Tea,0.2710526315789474,1.8040018269974,0.01033099297893681
"Soft Drink, Tea",Sugar,0.356401384083045,1.7478218393054397,0.01033099297893681
"Bread, Milk",Butter,0.2797494780793319,1.5983394249002516,0.013440320962888667
Butter,Eggs,0.23724928366762177,1.5727229775041152,0.04152457372116349
Eggs,Butter,0.2752659574468085,1.572722977504115,0.04152457372116349
Cheese,Pasta Sauce,0.27695417789757415,1.4563466000204717,0.041223671013039115
Pasta Sauce,Cheese,0.21677215189873417,1.4563466000204714,0.041223671013039115
Bread,Cereal,0.24287652645861602,1.4379328793304047,0.03590772316950853
Cereal,Bread,0.21258907363420426,1.4379328793304047,0.03590772316950853
"Coffee, Milk",Cereal,0.24235294117647058,1.434833030599413,0.01033099297893681
Milk,Sugar,0.24391891891891893,1.1961985349835818,0.0362086258776329
Garbage Bags,Pasta Sauce,0.21281840591618734,1.119092566974888,0.025977933801404212
"Toothbrush, Toothpaste",Soft Drink,0.21869488536155202,1.1130107233561377,0.012437311935807422
Toothpaste,Soft Drink,0.21674008810572687,1.1030621125135769,0.024674022066198596
Garbage Bags,Sugar,0.21774856203779785,1.0678569422119255,0.02657973921765296
Chocolate,Sugar,0.21617021276595744,1.060116586953564,0.025476429287863592
Juice,Soft Drink,0.2080772607550483,1.0589741142051208,0.023771313941825477
Biscuits,Sugar,0.21403508771929824,1.0496457572854911,0.024473420260782346
Namkeen,Soft Drink,0.20595744680851064,1.048185678754901,0.024272818455366097
Cooking Oil,Soft Drink,0.2047872340425532,1.04223007830743,0.030892678034102308
Chips,Sugar,0.21012658227848102,1.0304781236185223,0.02497492477432297
Pasta Sauce,Sugar,0.20991561181434598,1.0294435070285437,0.0399197592778335
Cookies,Soft Drink,0.20223752151462995,1.0292537465548037,0.02357071213640923
"Toothbrush, Toothpaste",Sugar,0.20987654320987653,1.029251911363733,0.011935807422266801
Cooking Oil,Sugar,0.20877659574468085,1.023857678098607,0.03149448345035105
Shampoo,Soft Drink,0.20114942528735633,1.023716064377204,0.02457372116349047
Rice,Sugar,0.20763087843833186,1.0182389857502059,0.023470411233701104
Yogurt,Sugar,0.20570440795159897,1.0087914152864939,0.023871614844533602
"Pasta, Pasta Sauce",Sugar,0.20351758793969849,0.9980670692369867,0.01624874623871615
Butter,Sugar,0.2034383954154728,0.997678702553991,0.03560682046138415
Eggs,Sugar,0.20279255319148937,0.9945114389174369,0.030591775325977934
Pasta,Sugar,0.20136518771331058,0.9875115206599638,0.023671013039117353
Toothpaste,Sugar,0.20088105726872246,0.9851373049528593,0.022868605817452356
Cereal,Sugar,0.2007125890736342,0.9843111230025249,0.033901705115346036
